ALLEEN DE EERSTE 4 KOLOMMEN PARSEN
Uur van de dag,Gebruikers,Nieuwe gebruikers,Sessies 
2018010422,11,8,11,1
2018010423,9,4,9,1
2018010500,2,2,2,0
2018010501,3,3,3,0
2018010502,2,2,2,0
2018010505,1,1,1,0
2018010507,12,2,12,0
2018010508,66,14,67,0
2018010509,111,32,113,1
2018010510,94,24,88,0
2018010511,88,24,88,4
2018010512,68,22,71,3
2018010513,76,26,76,0
2018010514,79,28,81,1
2018010515,65,21,67,4
2018010516,55,23,55,1
2018010517,30,9,30,0
2018010518,12,4,12,0
2018010519,13,5,15,0
2018010520,11,5,11,0
2018010521,11,4,11,0
2018010522,6,4,6,0
2018010523,6,5,6,0
2018010600,7,2,7,0
2018010601,2,0,2,0
2018010602,1,1,1,0
2018010604,1,1,1,0
2018010605,2,2,2,0
2018010607,2,0,2,0
2018010608,5,2,6,0
2018010609,8,2,11,0
2018010610,14,3,13,0
2018010611,19,8,22,2
2018010612,15,5,17,0
2018010613,16,8,16,1
2018010614,15,6,15,1
2018010615,18,10,18,0
2018010616,10,5,11,0
2018010617,6,3,5,0
2018010618,5,3,5,0
2018010619,8,5,8,0
2018010620,8,2,9,0
2018010621,4,3,4,0
2018010622,8,5,8,0
2018010623,8,7,8,0
2018010700,2,2,2,1
2018010701,3,0,2,0
2018010703,1,1,1,0
2018010708,4,2,4,0
2018010709,10,3,10,1
2018010710,6,3,6,0
2018010711,11,3,10,0
2018010712,10,1,10,0
2018010713,11,7,11,1
2018010714,9,4,9,1
2018010715,11,6,13,1
2018010716,18,11,18,2
2018010717,10,6,10,0
2018010718,12,7,13,0
2018010719,11,7,11,0
2018010720,12,7,13,0
2018010721,13,9,13,0
2018010722,13,10,12,2
2018010723,12,8,13,0
2018010800,2,2,2,0
2018010801,1,0,1,0
2018010804,1,0,1,0
2018010805,2,0,3,0
2018010806,5,2,5,0
2018010807,8,1,8,0
2018010808,76,16,76,0
2018010809,168,30,169,1
2018010810,158,48,159,6
2018010811,113,35,109,1
2018010812,108,32,112,2
2018010813,114,38,115,3
2018010814,105,37,100,0
2018010815,107,41,107,1
2018010816,99,27,98,0
2018010817,35,12,36,3
2018010818,26,14,27,1
2018010819,25,12,24,0
2018010820,21,9,21,1
2018010821,26,14,25,0
2018010822,16,10,16,0
2018010823,5,3,5,0
2018010900,5,2,5,0
2018010901,1,1,1,0
2018010902,2,0,2,0
2018010905,3,1,3,0
2018010906,8,5,8,0
2018010907,28,9,30,0
2018010908,115,27,114,0
2018010909,149,32,153,0
2018010910,124,31,123,2
2018010911,117,29,117,0
2018010912,76,21,75,0
2018010913,110,32,111,0
2018010914,112,39,110,3
2018010915,100,25,97,3
2018010916,83,34,86,1
2018010917,40,14,37,1
2018010918,19,10,20,1
2018010919,25,7,25,0
2018010920,24,11,25,3
2018010921,22,9,22,1
2018010922,14,8,13,0
2018010923,4,2,4,0
2018011000,1,1,1,0
2018011001,1,0,1,0
2018011002,1,0,1,0
2018011003,1,0,1,0
2018011004,1,1,1,0
2018011006,6,4,6,0
2018011007,18,6,18,2
2018011008,89,20,89,2
2018011009,127,32,131,2
2018011010,127,38,122,1
2018011011,106,35,106,0
2018011012,79,32,80,2
2018011013,83,18,86,2
2018011014,106,33,106,4
2018011015,86,33,79,4
2018011016,77,28,76,0
2018011017,34,10,33,1
2018011018,25,14,25,2
2018011019,23,8,23,1
2018011020,25,10,24,0
2018011021,18,11,17,0
2018011022,8,5,8,0
2018011023,6,4,7,1
2018011100,3,2,3,0
2018011102,1,1,1,0
2018011104,2,1,2,0
2018011107,20,6,20,0
2018011108,90,17,92,0
2018011109,131,32,129,0
2018011110,124,38,124,1
2018011111,118,42,118,0
2018011112,103,30,102,1
2018011113,101,30,109,0
2018011114,118,38,119,2
2018011115,86,33,84,0
2018011116,93,26,91,3
2018011117,37,9,34,1
2018011118,23,10,22,1
2018011119,24,9,26,0
2018011120,29,15,28,0
2018011121,25,11,24,1
2018011122,10,7,10,0
2018011123,9,5,8,0
2018011200,3,2,3,0
2018011202,3,1,3,0
2018011203,2,2,2,0
2018011205,1,1,1,0
2018011206,2,2,2,0
2018011207,17,3,17,0
2018011208,88,15,89,1
2018011209,112,30,111,1
2018011210,97,28,101,1
2018011211,90,31,89,4
2018011212,76,35,78,1
2018011213,93,31,98,2
2018011214,95,37,101,2
2018011215,88,35,90,1
2018011216,54,18,53,1
2018011217,25,9,25,0
2018011218,13,6,13,0
2018011219,17,8,16,0
2018011220,11,5,12,0
2018011221,12,6,13,1
2018011222,12,10,12,0
2018011223,5,3,5,0
2018011300,3,2,4,0
2018011301,4,2,4,0
2018011306,1,0,1,0
2018011307,4,4,4,0
2018011308,8,5,7,0
2018011309,14,5,14,0
2018011310,21,8,21,0
2018011311,13,5,14,0
2018011312,16,7,16,0
2018011313,14,8,14,0
2018011314,8,4,8,1
2018011315,11,8,11,0
2018011316,13,8,14,1
2018011317,8,5,8,1
2018011318,5,2,4,1
2018011319,9,6,11,1
2018011320,17,8,17,0
2018011321,6,5,6,0
2018011322,7,4,8,0
2018011323,2,1,2,0
2018011400,2,1,2,0
2018011401,2,1,2,0
2018011402,1,1,1,0
2018011405,1,1,1,0
2018011406,2,1,2,0
2018011408,6,2,6,0
2018011409,7,3,8,1
2018011410,11,3,11,0
2018011411,28,11,27,0
2018011412,17,8,17,0
2018011413,20,8,20,2
2018011414,23,11,24,2
2018011415,7,3,8,0
2018011416,23,12,24,0
2018011417,12,8,14,0
2018011418,14,7,13,0
2018011419,11,6,12,0
2018011420,16,9,14,0
2018011421,17,10,17,0
2018011422,11,5,11,3
2018011423,6,3,5,0
2018011500,3,2,3,0
2018011501,4,3,4,0
2018011502,3,2,3,0
2018011505,3,1,3,0
2018011506,1,0,1,0
2018011507,25,8,26,0
2018011508,101,16,101,0
2018011509,176,27,177,0
2018011510,137,45,139,1
2018011511,124,36,127,2
2018011512,102,28,101,0
2018011513,106,28,104,1
2018011514,120,40,119,4
2018011515,104,37,102,1
2018011516,76,29,75,3
2018011517,46,17,45,0
2018011518,22,8,21,0
2018011519,19,5,18,0
2018011520,28,11,29,1
2018011521,25,12,25,1
2018011522,22,4,22,0
2018011523,7,2,6,0
2018011600,3,1,3,0
2018011601,1,1,1,0
2018011602,1,1,1,0
2018011603,2,2,2,0
2018011605,1,0,1,0
2018011606,4,0,4,0
2018011607,21,6,21,0
2018011608,99,22,100,0
2018011609,161,37,165,1
2018011610,149,51,146,0
2018011611,125,39,123,6
2018011612,104,35,102,3
2018011613,111,28,113,0
2018011614,107,42,111,2
2018011615,110,37,105,1
2018011616,98,37,97,3
2018011617,50,21,46,2
2018011618,23,9,23,0
2018011619,27,8,25,1
2018011620,34,14,33,1
2018011621,24,13,24,0
2018011622,24,12,23,1
2018011623,14,10,17,1
2018011700,5,3,5,0
2018011701,4,2,3,0
2018011702,4,3,4,0
2018011703,1,0,1,0
2018011704,1,0,1,0
2018011705,1,1,1,0
2018011707,19,5,19,0
2018011708,86,17,89,0
2018011709,143,35,143,1
2018011710,124,35,126,1
2018011711,116,37,115,1
2018011712,89,28,85,1
2018011713,95,31,97,1
2018011714,120,43,118,1
2018011715,103,43,96,0
2018011716,85,33,89,2
2018011717,49,21,45,0
2018011718,14,4,14,1
2018011719,26,10,27,1
2018011720,24,13,25,0
2018011721,24,10,22,0
2018011722,12,5,10,0
2018011723,7,5,8,0
2018011800,10,6,10,0
2018011801,2,0,2,0
2018011805,2,0,2,0
2018011806,1,0,1,0
2018011807,20,3,21,0
2018011808,102,22,100,1
2018011809,169,33,170,0
2018011810,139,31,137,0
2018011811,105,28,104,1
2018011812,84,23,87,2
2018011813,93,24,97,0
2018011814,113,37,115,0
2018011815,100,33,100,2
2018011816,92,22,95,2
2018011817,44,14,43,2
2018011818,19,6,21,0
2018011819,22,12,22,1
2018011820,26,14,27,0
2018011821,19,11,18,1
2018011822,13,7,14,0
2018011823,11,5,11,0
2018011900,8,3,9,0
2018011901,1,1,1,0
2018011902,1,1,1,0
2018011903,1,1,1,0
2018011905,3,2,3,1
2018011906,1,0,1,0
2018011907,8,1,8,0
2018011908,77,6,79,2
2018011909,112,23,111,0
2018011910,107,32,104,1
2018011911,114,37,115,0
2018011912,68,28,73,1
2018011913,81,26,86,3
2018011914,77,23,77,0
2018011915,87,26,85,1
2018011916,53,13,52,0
2018011917,26,11,29,0
2018011918,16,8,17,0
2018011919,13,2,13,0
2018011920,17,9,15,0
2018011921,7,3,6,1
2018011922,8,6,9,0
2018011923,5,2,6,0
2018012000,2,2,2,0
2018012001,1,0,1,0
2018012002,1,1,1,0
2018012006,3,2,3,0
2018012007,3,2,3,0
2018012008,2,2,2,0
2018012009,14,4,15,1
2018012010,18,11,18,3
2018012011,20,12,20,0
2018012012,22,8,21,0
2018012013,17,6,19,0
2018012014,14,6,13,1
2018012015,22,12,22,0
2018012016,18,8,18,0
2018012017,13,7,13,0
2018012018,10,5,10,0
2018012019,4,2,3,0
2018012020,7,6,8,0
2018012021,10,7,10,0
2018012022,5,4,5,0
2018012023,5,4,5,0
2018012100,5,3,5,0
2018012101,3,0,2,0
2018012102,2,2,2,0
2018012104,1,1,1,0
2018012105,1,0,1,0
2018012106,2,1,2,0
2018012107,1,1,1,0
2018012108,1,1,1,0
2018012109,3,2,3,1
2018012110,5,2,5,0
2018012111,12,6,12,0
2018012112,22,10,24,0
2018012113,15,3,16,1
2018012114,21,13,21,1
2018012115,13,5,12,0
2018012116,12,8,12,0
2018012117,10,7,10,0
2018012118,20,10,21,4
2018012119,15,7,15,0
2018012120,20,8,18,1
2018012121,17,5,17,0
2018012122,14,5,14,0
2018012123,9,6,9,0
2018012200,4,0,4,1
2018012201,2,1,4,0
2018012204,1,1,1,0
2018012205,2,0,2,0
2018012206,1,0,1,0
2018012207,18,9,18,1
2018012208,110,25,111,1
2018012209,164,41,169,4
2018012210,154,49,159,1
2018012211,124,39,130,1
2018012212,94,30,86,1
2018012213,115,39,114,3
2018012214,105,36,112,3
2018012215,110,46,109,1
2018012216,100,33,102,3
2018012217,43,20,43,0
2018012218,25,14,25,0
2018012219,23,14,24,0
2018012220,28,11,30,1
2018012221,28,11,29,0
2018012222,16,7,16,0
2018012223,9,7,12,2
2018012300,5,5,5,0
2018012301,2,1,2,0
2018012303,1,0,1,0
2018012304,2,0,1,0
2018012305,2,1,2,1
2018012306,8,2,8,0
2018012307,22,6,22,0
2018012308,126,37,127,3
2018012309,164,45,159,0
2018012310,144,42,147,1
2018012311,122,41,127,1
2018012312,97,29,93,2
2018012313,112,35,113,3
2018012314,125,39,124,2
2018012315,111,36,111,1
2018012316,106,37,105,1
2018012317,44,17,46,1
2018012318,31,16,30,0
2018012319,28,15,27,1
2018012320,41,24,43,1
2018012321,46,22,45,4
2018012322,18,5,16,0
2018012323,12,7,14,0
2018012400,9,5,9,0
2018012401,1,0,1,0
2018012402,3,3,4,1
2018012403,3,3,3,0
2018012404,3,3,3,0
2018012405,3,0,3,0
2018012406,3,1,3,0
2018012407,17,9,18,0
2018012408,95,25,95,0
2018012409,131,42,133,1
2018012410,120,48,121,3
2018012411,99,33,100,1
2018012412,89,36,88,2
2018012413,97,43,102,4
2018012414,89,26,92,2
2018012415,79,38,80,0
2018012416,82,39,81,1
2018012417,54,25,50,5
2018012418,22,8,22,0
2018012419,25,12,26,1
2018012420,32,13,32,1
2018012421,36,11,34,0
2018012422,28,17,28,0
2018012423,9,2,9,0
2018012500,3,2,3,0
2018012501,4,3,4,0
2018012502,1,0,1,0
2018012505,3,1,3,0
2018012506,5,0,5,0
2018012507,17,7,17,0
2018012508,101,20,102,0
2018012509,153,47,155,2
2018012510,125,48,123,0
2018012511,127,44,127,4
2018012512,103,28,100,0
2018012513,117,36,117,2
2018012514,133,48,135,2
2018012515,89,34,95,2
2018012516,77,29,77,0
2018012517,54,31,54,0
2018012518,28,14,28,0
2018012519,28,12,31,0
2018012520,21,13,21,1
2018012521,20,12,22,2
2018012522,19,12,20,0
2018012523,14,5,15,0
2018012600,7,3,7,0
2018012601,1,1,1,0
2018012602,1,0,0,0
2018012603,2,2,2,0
2018012604,2,1,1,0
2018012605,1,0,1,0
2018012606,3,1,3,0
2018012607,25,14,25,0
2018012608,74,13,73,1
2018012609,131,29,127,3
2018012610,119,36,123,2
2018012611,103,30,103,3
2018012612,85,32,82,1
2018012613,87,28,87,3
2018012614,89,35,85,1
2018012615,94,36,94,0
2018012616,75,34,76,2
2018012617,38,19,37,0
2018012618,23,15,25,1
2018012619,18,7,17,1
2018012620,17,11,15,1
2018012621,16,9,16,0
2018012622,9,5,10,0
2018012623,13,9,13,0
2018012700,2,1,2,0
2018012701,2,0,2,0
2018012702,1,0,1,0
2018012705,2,1,2,0
2018012706,4,3,4,0
2018012707,1,0,1,0
2018012708,8,6,8,0
2018012709,18,9,20,0
2018012710,17,5,17,1
2018012711,16,7,16,0
2018012712,12,5,12,0
2018012713,18,9,18,0
2018012714,10,3,10,1
2018012715,12,6,12,1
2018012716,23,14,22,0
2018012717,14,7,14,0
2018012718,7,4,8,0
2018012719,13,6,13,0
2018012720,15,8,15,0
2018012721,9,2,8,0
2018012722,5,3,6,2
2018012723,4,2,4,0
2018012801,1,1,1,0
2018012802,1,1,1,1
2018012804,1,1,1,0
2018012805,3,3,3,0
2018012807,2,1,2,0
2018012808,6,4,6,0
2018012809,7,2,8,0
2018012810,9,4,9,0
2018012811,21,7,22,1
2018012812,13,3,12,2
2018012813,17,8,16,0
2018012814,16,11,14,3
2018012815,21,9,20,0
2018012816,21,13,23,0
2018012817,10,5,10,0
2018012818,9,4,9,0
2018012819,14,7,15,1
2018012820,16,8,15,0
2018012821,16,7,16,1
2018012822,10,4,9,0
2018012823,10,5,9,0
2018012900,4,1,4,0
2018012901,2,2,2,0
2018012902,1,1,1,0
2018012905,2,0,2,0
2018012906,2,1,2,0
2018012907,34,15,34,0
2018012908,106,22,104,0
2018012909,162,53,162,1
2018012910,127,43,128,5
2018012911,144,52,142,1
2018012912,92,26,90,1
2018012913,120,47,121,3
2018012914,119,46,114,1
2018012915,102,32,102,2
2018012916,102,49,101,3
2018012917,40,18,38,0
2018012918,16,10,17,0
2018012919,34,14,36,1
2018012920,25,14,26,0
2018012921,31,15,30,1
2018012922,25,13,25,1
2018012923,11,4,10,0
2018013000,3,1,3,0
2018013001,1,1,1,0
2018013002,5,4,5,0
2018013003,1,1,1,0
2018013005,1,1,1,0
2018013006,6,3,6,0
2018013007,28,10,29,1
2018013008,114,32,115,0
2018013009,169,51,168,3
2018013010,136,53,133,0
2018013011,129,39,130,4
2018013012,102,46,98,3
2018013013,103,24,103,0
2018013014,109,39,114,2
2018013015,107,42,106,3
2018013016,112,43,110,5
2018013017,51,20,51,1
2018013018,32,21,33,0
2018013019,31,14,29,2
2018013020,23,7,24,0
2018013021,36,20,38,2
2018013022,28,19,26,0
2018013023,16,9,16,0
2018013100,7,3,7,1
2018013101,1,0,1,0
2018013102,3,2,3,0
2018013103,1,0,0,0
2018013104,4,3,4,0
2018013105,2,1,2,0
2018013106,6,3,7,0
2018013107,22,12,22,1
2018013108,98,39,100,4
2018013109,156,47,154,2
2018013110,134,41,134,1
2018013111,131,49,132,4
2018013112,105,27,105,3
2018013113,116,41,120,3
2018013114,115,42,118,1
2018013115,100,36,98,2
2018013116,81,25,81,1
2018013117,43,17,44,2
2018013118,26,19,27,1
2018013119,29,17,29,2
2018013120,35,16,32,2
2018013121,29,18,29,0
2018013122,23,10,19,1
2018013123,13,7,15,1
2018020100,9,3,11,0
2018020101,1,0,1,0
2018020103,1,1,1,0
2018020104,4,3,4,1
2018020105,3,0,4,0
2018020106,3,1,3,0
2018020107,28,14,28,1
2018020108,115,31,117,0
2018020109,152,45,153,7
2018020110,138,40,141,0
2018020111,121,41,120,5
2018020112,99,29,97,2
2018020113,115,53,113,2
2018020114,126,48,127,2
2018020115,97,38,94,3
2018020116,98,35,99,1
2018020117,49,20,46,0
2018020118,27,12,26,1
2018020119,25,11,24,1
2018020120,35,20,38,0
2018020121,28,19,30,1
2018020122,11,4,12,0
2018020123,13,8,14,0
2018020200,10,5,10,0
2018020201,6,4,7,0
2018020202,2,1,2,0
2018020204,3,1,3,0
2018020205,3,1,3,0
2018020206,9,6,8,2
2018020207,41,25,42,0
2018020208,211,94,222,2
2018020209,260,100,264,0
2018020210,170,87,169,1
2018020211,150,61,147,0
2018020212,119,52,122,3
2018020213,147,60,144,2
2018020214,140,54,146,3
2018020215,116,48,124,2
2018020216,93,41,94,2
2018020217,54,22,56,1
2018020218,25,10,24,0
2018020219,24,11,24,0
2018020220,22,11,22,0
2018020221,16,10,16,3
2018020222,15,7,15,1
2018020223,18,14,18,0
2018020300,12,10,13,1
2018020301,4,0,3,0
2018020306,5,1,6,0
2018020307,5,3,5,0
2018020308,11,3,12,1
2018020309,20,7,21,1
2018020310,23,9,23,1
2018020311,17,7,19,1
2018020312,23,12,22,0
2018020313,22,11,22,0
2018020314,18,5,20,0
2018020315,20,11,20,1
2018020316,19,6,19,1
2018020317,15,6,14,2
2018020318,13,8,13,0
2018020319,19,9,19,2
2018020320,18,10,18,0
2018020321,11,5,11,0
2018020322,13,10,13,0
2018020323,10,4,11,0
2018020400,7,4,8,0
2018020401,2,1,3,0
2018020402,2,1,2,0
2018020403,1,0,1,0
2018020405,1,1,1,0
2018020406,1,0,1,0
2018020407,4,1,4,0
2018020408,12,4,12,0
2018020409,14,5,14,0
2018020410,29,17,31,1
2018020411,30,15,30,1
2018020412,24,12,21,2
2018020413,27,11,29,0
2018020414,15,8,16,0
2018020415,11,5,13,0
2018020416,22,13,22,1
2018020417,9,3,9,0
2018020418,8,4,8,0
2018020419,17,11,18,0
2018020420,23,9,23,1
2018020421,18,10,18,0
2018020422,15,6,16,0
2018020423,8,6,8,1
2018020500,2,2,2,0
2018020501,5,2,6,0
2018020504,1,1,1,0
2018020505,1,0,1,0
2018020506,7,5,7,0
2018020507,34,16,33,0
2018020508,120,35,119,0
2018020509,185,58,193,3
2018020510,159,39,151,1
2018020511,146,54,146,4
2018020512,131,65,135,1
2018020513,122,42,122,0
2018020514,159,61,161,5
2018020515,121,40,119,2
2018020516,129,42,129,0
2018020517,59,18,61,0
2018020518,25,10,25,0
2018020519,36,19,37,0
2018020520,26,12,25,0
2018020521,30,13,31,0
2018020522,17,8,18,2
2018020523,16,8,15,0
2018020600,7,2,7,0
2018020603,2,0,2,0
2018020604,2,1,2,0
2018020605,2,2,2,0
2018020606,2,1,2,0
2018020607,24,10,24,0
2018020608,125,42,130,2
2018020609,181,55,184,1
2018020610,163,52,166,2
2018020611,169,52,167,4
2018020612,116,43,114,2
2018020613,153,54,157,3
2018020614,117,40,119,2
2018020615,137,54,133,1
2018020616,106,34,108,3
2018020617,52,20,51,1
2018020618,28,12,29,0
2018020619,28,13,28,0
2018020620,28,11,28,0
2018020621,19,11,19,0
2018020622,14,7,15,1
2018020623,11,6,11,0
2018020700,5,4,5,1
2018020701,4,1,4,0
2018020702,1,1,1,0
2018020703,1,1,1,0
2018020705,6,2,6,0
2018020706,5,2,5,0
2018020707,15,5,15,1
2018020708,116,33,120,1
2018020709,166,43,166,0
2018020710,134,41,134,3
2018020711,127,50,127,4
2018020712,91,36,87,2
2018020713,91,20,90,1
2018020714,122,50,123,0
2018020715,93,36,93,0
2018020716,121,47,117,1
2018020717,51,22,53,3
2018020718,31,12,33,0
2018020719,34,14,35,1
2018020720,34,11,33,0
2018020721,23,9,21,3
2018020722,21,9,23,1
2018020723,14,7,13,0
2018020800,3,3,3,1
2018020803,1,1,2,0
2018020804,2,0,2,0
2018020805,1,0,1,0
2018020806,4,0,4,0
2018020807,20,5,19,0
2018020808,105,18,107,0
2018020809,188,53,184,2
2018020810,149,51,148,2
2018020811,147,55,143,1
2018020812,109,46,109,4
2018020813,117,39,120,0
2018020814,112,32,114,1
2018020815,101,33,98,1
2018020816,95,49,95,2
2018020817,38,13,39,0
2018020818,40,21,37,0
2018020819,31,14,31,2
2018020820,28,13,28,0
2018020821,22,6,21,0
2018020822,12,9,12,0
2018020823,14,8,15,0
2018020900,2,0,2,0
2018020901,1,1,1,0
2018020902,2,1,2,0
2018020903,1,1,1,0
2018020904,2,0,2,0
2018020905,1,1,1,0
2018020906,4,1,4,0
2018020907,12,3,12,0
2018020908,86,20,88,1
2018020909,128,37,127,1
2018020910,139,43,129,2
2018020911,101,40,99,1
2018020912,91,39,94,0
2018020913,104,53,105,2
2018020914,91,26,89,3
2018020915,74,29,74,1
2018020916,89,29,88,4
2018020917,19,9,19,0
2018020918,12,6,13,0
2018020919,17,9,18,1
2018020920,16,8,17,0
2018020921,15,10,15,0
2018020922,11,2,11,0
2018020923,4,3,4,0
2018021001,1,1,1,0
2018021002,1,0,1,0
2018021004,1,0,1,0
2018021007,2,0,2,0
2018021008,10,5,10,0
2018021009,12,2,12,0
2018021010,20,12,22,0
2018021011,11,3,11,0
2018021012,19,5,19,0
2018021013,11,4,11,0
2018021014,12,8,11,0
2018021015,13,6,13,0
2018021016,16,8,16,0
2018021017,7,4,7,0
2018021018,8,6,7,0
2018021019,7,4,7,0
2018021020,8,3,8,0
2018021021,10,7,10,1
2018021022,12,5,10,0
2018021023,11,7,11,0
2018021100,2,1,2,0
2018021101,1,1,1,0
2018021102,3,2,3,0
2018021106,1,0,1,0
2018021107,2,1,2,0
2018021108,4,3,4,0
2018021109,10,5,11,0
2018021110,14,7,13,1
2018021111,10,3,11,1
2018021112,13,5,13,0
2018021113,22,12,21,1
2018021114,19,5,21,0
2018021115,10,4,10,1
2018021116,12,5,12,0
2018021117,16,6,17,0
2018021118,12,1,13,0
2018021119,20,6,19,0
2018021120,22,11,21,2
2018021121,23,8,23,2
2018021122,18,12,18,1
2018021123,7,3,5,1
2018021200,1,1,1,0
2018021204,1,1,1,0
2018021205,5,5,5,0
2018021206,2,1,2,0
2018021207,22,11,23,0
2018021208,90,14,90,0
2018021209,151,33,149,2
2018021210,157,54,156,2
2018021211,133,39,132,6
2018021212,97,27,98,0
2018021213,98,32,97,2
2018021214,107,38,110,1
2018021215,92,29,89,1
2018021216,85,23,85,1
2018021217,50,26,48,2
2018021218,27,13,27,0
2018021219,17,9,17,1
2018021220,24,8,23,0
2018021221,28,17,31,1
2018021222,15,8,14,1
2018021223,7,4,8,0
2018021300,4,2,4,0
2018021301,1,0,1,0
2018021302,2,0,2,0
2018021303,1,0,1,0
2018021304,2,2,2,0
2018021305,1,0,0,0
2018021306,3,3,3,0
2018021307,24,9,22,0
2018021308,94,10,94,0
2018021309,172,50,173,1
2018021310,141,42,138,2
2018021311,110,41,109,2
2018021312,96,34,98,1
2018021313,105,30,104,0
2018021314,100,39,101,1
2018021315,91,25,88,4
2018021316,103,37,105,5
2018021317,52,24,49,3
2018021318,18,5,18,2
2018021319,29,13,28,0
2018021320,30,11,32,0
2018021321,22,3,22,1
2018021322,20,11,20,2
2018021323,12,4,12,0
2018021400,3,2,3,0
2018021401,2,0,2,0
2018021403,2,1,2,0
2018021404,2,2,2,0
2018021405,3,1,3,0
2018021406,6,2,6,0
2018021407,13,7,13,0
2018021408,104,32,103,3
2018021409,142,38,140,2
2018021410,135,46,133,6
2018021411,119,46,122,1
2018021412,75,27,73,1
2018021413,95,37,96,5
2018021414,110,36,107,5
2018021415,108,46,107,4
2018021416,85,31,83,1
2018021417,42,17,43,0
2018021418,25,13,24,0
2018021419,26,10,26,1
2018021420,27,17,28,0
2018021421,22,14,21,2
2018021422,19,8,19,1
2018021423,7,5,6,1
2018021500,6,4,6,0
2018021501,1,0,1,0
2018021502,2,1,2,0
2018021503,2,0,2,0
2018021504,1,1,1,0
2018021505,5,1,5,0
2018021506,2,1,2,0
2018021507,27,7,28,0
2018021508,124,24,125,0
2018021509,157,43,153,3
2018021510,127,42,127,3
2018021511,121,41,120,2
2018021512,103,35,97,3
2018021513,103,34,107,2
2018021514,128,33,127,4
2018021515,108,37,108,1
2018021516,105,40,104,3
2018021517,40,15,36,0
2018021518,25,11,25,0
2018021519,15,9,15,0
2018021520,30,15,32,2
2018021521,28,12,27,2
2018021522,20,9,20,2
2018021523,7,2,5,0
2018021600,3,3,3,0
2018021601,1,1,1,0
2018021602,1,1,1,0
2018021606,3,2,3,0
2018021607,18,6,18,0
2018021608,83,21,82,2
2018021609,136,41,141,1
2018021610,133,43,137,2
2018021611,121,36,116,5
2018021612,77,22,75,0
2018021613,91,28,91,3
2018021614,85,29,85,2
2018021615,89,26,92,0
2018021616,72,20,75,3
2018021617,36,16,33,1
2018021618,12,2,11,1
2018021619,12,1,13,0
2018021620,12,6,13,0
2018021621,26,18,26,0
2018021622,3,2,3,0
2018021623,6,2,8,1
2018021700,41,39,41,0
2018021701,3,2,3,0
2018021703,2,1,2,0
2018021707,4,3,4,1
2018021708,15,7,15,0
2018021709,16,8,16,0
2018021710,26,9,27,2
2018021711,23,14,22,2
2018021712,10,8,10,0
2018021713,14,11,16,0
2018021714,14,7,14,0
2018021715,10,5,11,1
2018021716,19,11,20,1
2018021717,15,12,15,1
2018021718,11,7,11,0
2018021719,12,9,13,0
2018021720,8,2,9,0
2018021721,8,4,8,1
2018021722,7,3,7,0
2018021723,4,1,4,0
2018021800,3,3,3,0
2018021801,1,1,1,0
2018021802,1,0,1,0
2018021807,2,2,2,0
2018021808,7,3,7,0
2018021809,13,2,13,0
2018021810,13,7,13,0
2018021811,18,8,18,1
